노선명,기점정류장명,종점정류장명,운수회사명,출퇴근배차간격(분),평일배차간격(분),주말배차간격(분),주중상행첫차시간,주중상행막차시간,주말상행첫차시간,주말상행막차시간,주중하행첫차시간,주중하행막차시간,주말하행첫차시간,주말하행막차시간,안내사항,데이터기준일자
51,사기막골,서울대병원,성남시내버스,5,15,23,04:20,22:00,04:20,22:00,05:45,23:15,05:45,23:15,,2025-11-13
55,(임시)금토동삼거리,남한산성입구.양지파출소,성남시내버스,12,22,37,04:30,22:00,04:30,22:00,04:30,23:10,04:30,23:10,,2025-11-13
57,선경아파트,세곡동사거리,대명운수,6,7,10,05:00,22:30,05:00,22:30,06:00,23:35,06:00,23:35,,2025-11-13
6,상대원차고지,남한산성입구.양지파출소,대명운수,8,10,13,05:30,22:40,05:30,22:40,06:25,23:05,06:25,23:05,,2025-11-13
60,선경아파트,복정역환승센터1번승강장,성남시내버스,15,25,37,05:00,22:00,05:00,22:00,06:05,23:15,06:05,23:15,,2025-11-13
720-1A,오리역,남한산성입구.양지파출소,대원버스,10,15,20,05:00,23:00,05:00,23:00,04:40,23:00,04:40,23:00,,2025-11-13
810,그린빌리지,수진역.성호시장.성일중고입구,성남시내버스,15,25,35,06:00,23:00,06:00,23:00,06:30,23:30,06:30,23:30,,2025-11-13
8106,오리역,상동역1번출구.부천터미널소풍.홈플러스,경기고속,10,20,30,05:10,23:10,05:10,23:10,05:10,23:10,05:10,23:10,,2025-11-13
8109,오리역,킨텍스제2전시장,경기고속,40,60,60,05:00,23:30,05:00,23:30,05:00,23:30,05:00,23:30,,2025-11-13
811,도촌9단지후문,수진역.성호시장.성일중고입구,대원버스,15,25,40,06:00,23:00,06:00,23:00,06:30,23:30,06:30,23:30,,2025-11-13
9000,성우스타우스,서울역버스환승센터(5번승강장)(중),경기고속,3,35,55,04:50,00:00,04:50,00:00,06:00,01:00,06:00,01:00,,2025-11-13
9003,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),대원버스,2,25,30,05:00,23:10,05:00,23:10,05:40,00:00,05:40,00:00,,2025-11-13
9004,운중동먹거리촌,강남역티월드,대원버스,8,20,30,05:00,23:20,05:00,23:20,05:30,00:00,05:30,00:00,,2025-11-13
9007,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),대원버스,5,20,30,05:00,22:50,05:00,22:50,06:00,23:50,06:00,23:50,,2025-11-13
9200,위례중학교.엠코타운센트로엘,서울역버스환승센터(5번승강장)(중),대원버스,11,30,36,05:00,22:30,05:00,22:30,06:10,23:50,06:10,23:50,,2025-11-13
9300,도촌동9단지앞,서울역버스환승센터(5번승강장)(중),대원버스,2,30,30,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,,2025-11-13
9400,자동차검사소.산성아파트,지하철2호선강남역(중),대원버스,40,70,70,05:30,21:30,05:30,21:30,06:20,22:20,06:20,22:20,,2025-11-13
